Type,Market,Accuracy,Balanced Accuracy,F1 Score
XGB,USDEUR,0.47509578544061304,0.4752201996476806,0.49070631970260226
XGB,USDJPY,0.46360153256704983,0.4876623376623377,0.5857988165680473
XGB,USDGBP,0.4559386973180077,0.5171310691222195,0.6077348066298343
XGB,USDCHF,0.5057471264367817,0.49376305763795014,0.410958904109589
XGB,USDNZD,0.4904214559386973,0.49679411764705883,0.5491525423728814
XGB,USDCAD,0.49808429118773945,0.5091299677765844,0.5093632958801498
XGB,USDSEK,0.5478927203065134,0.5394504068876047,0.45871559633027525
XGB,USDDKK,0.4789272030651341,0.4816729323308271,0.5405405405405405
XGB,USDNOK,0.45977011494252873,0.45582010582010585,0.37885462555066074
XGB,EURJPY,0.4827586206896552,0.4905172413793103,0.49056603773584906
XGB,EURGBP,0.4444444444444444,0.4524370143630798,0.5117845117845119
XGB,EURCHF,0.4482758620689655,0.47650231124807396,0.558282208588957
XGB,EURNZD,0.4444444444444444,0.4419642857142857,0.3555555555555555
XGB,EURCAD,0.5287356321839081,0.5335978835978836,0.5802047781569966
XGB,EURSEK,0.5019157088122606,0.48693255896645726,0.37500000000000006
XGB,EURDKK,0.5900383141762452,0.5,0.7421686746987951
XGB,EURNOK,0.524904214559387,0.5201764705882352,0.581081081081081
